,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
49928,22000486,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,29:08,13.0,18.0,0.722,1.0,3.0,0.3329999999999999,10.0,13.0,0.769,1.0,7.0,8.0,8.0,2.0,2.0,3.0,1.0,37.0,21.0
50345,22000471,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,33:29,9.0,19.0,0.474,1.0,2.0,0.5,19.0,24.0,0.792,5.0,13.0,18.0,4.0,1.0,0.0,6.0,4.0,38.0,29.0
50625,22000453,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,35:45,10.0,20.0,0.5,1.0,5.0,0.2,8.0,10.0,0.8,2.0,17.0,19.0,8.0,1.0,3.0,3.0,2.0,29.0,23.0
50732,22000445,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,37:05,8.0,20.0,0.4,0.0,4.0,0.0,7.0,13.0,0.5379999999999999,1.0,11.0,12.0,8.0,2.0,0.0,5.0,6.0,23.0,-8.0
51116,22000430,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,37:17,11.0,20.0,0.55,2.0,4.0,0.5,10.0,14.0,0.7140000000000001,0.0,10.0,10.0,8.0,5.0,2.0,5.0,2.0,34.0,-9.0
51515,22000415,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,35:56,10.0,18.0,0.556,1.0,3.0,0.3329999999999999,3.0,3.0,1.0,4.0,13.0,17.0,10.0,3.0,3.0,5.0,4.0,24.0,4.0
51955,22000402,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,38:52,12.0,20.0,0.6,1.0,2.0,0.5,4.0,6.0,0.667,2.0,13.0,15.0,6.0,2.0,2.0,3.0,5.0,29.0,-8.0
52366,22000389,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,37:55,15.0,23.0,0.652,0.0,4.0,0.0,17.0,21.0,0.81,2.0,9.0,11.0,5.0,1.0,0.0,2.0,2.0,47.0,-3.0
52753,22000373,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,34:19,11.0,23.0,0.478,2.0,5.0,0.4,6.0,8.0,0.75,2.0,7.0,9.0,0.0,0.0,3.0,2.0,1.0,30.0,7.0
53063,22000357,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,31:50,8.0,15.0,0.5329999999999999,1.0,4.0,0.25,7.0,11.0,0.636,0.0,11.0,11.0,5.0,0.0,0.0,3.0,4.0,24.0,6.0
53291,22000346,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,33:20,13.0,25.0,0.52,1.0,3.0,0.3329999999999999,6.0,8.0,0.75,2.0,10.0,12.0,4.0,1.0,4.0,3.0,3.0,33.0,15.0
53612,22000329,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,30:37,7.0,8.0,0.875,0.0,0.0,0.0,7.0,8.0,0.875,2.0,12.0,14.0,10.0,2.0,1.0,4.0,0.0,21.0,30.0
54108,22000316,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,25:47,8.0,11.0,0.727,0.0,0.0,0.0,2.0,3.0,0.667,1.0,3.0,4.0,6.0,0.0,1.0,1.0,3.0,18.0,25.0
54417,22000299,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,39:24,12.0,19.0,0.632,0.0,4.0,0.0,10.0,18.0,0.556,2.0,16.0,18.0,9.0,1.0,1.0,3.0,1.0,34.0,0.0
54713,22000293,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,38:51,15.0,27.0,0.556,2.0,7.0,0.286,6.0,7.0,0.857,3.0,8.0,11.0,5.0,2.0,2.0,4.0,3.0,38.0,1.0
55139,22000277,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,37:47,8.0,14.0,0.5710000000000001,0.0,1.0,0.0,8.0,14.0,0.5710000000000001,1.0,17.0,18.0,9.0,1.0,1.0,5.0,3.0,24.0,10.0
