,GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_ID,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,MIN,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PTS,PLUS_MINUS,colscatt
93,2021-04-22,22000894,1610612749,1610612755,2020,124.0,0.556,0.609,0.5,32.0,45.0,117.0,0.505,0.722,0.444,27.0,33.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,35.0,15.0,0.5329999999999999,1.0,2.0,0.5,10.0,18.0,0.556,2.0,14.0,16.0,6.0,2.0,1.0,3.0,27.0,25.0,2.4000000000000004
94,2021-04-19,22000873,1610612749,1610612756,2020,127.0,0.48,0.947,0.324,19.0,51.0,128.0,0.481,0.9,0.405,28.0,45.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,35.0,22.0,0.545,0.0,1.0,0.0,9.0,10.0,0.9,0.0,8.0,8.0,2.0,1.0,1.0,3.0,33.0,-3.0,2.45
95,2021-04-17,22000859,1610612749,1610612763,2020,115.0,0.429,0.778,0.34,27.0,45.0,128.0,0.5479999999999999,0.917,0.375,31.0,43.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,29.0,18.0,0.556,0.0,3.0,0.0,8.0,12.0,0.667,3.0,8.0,11.0,8.0,0.0,0.0,4.0,28.0,-5.0,2.5
100,2021-03-26,22000685,1610612749,1610612738,2020,114.0,0.444,0.636,0.4039999999999999,24.0,49.0,122.0,0.489,0.875,0.4679999999999999,27.0,44.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,27.0,12.0,0.5,1.0,3.0,0.3329999999999999,3.0,6.0,0.5,3.0,5.0,8.0,5.0,0.0,0.0,2.0,16.0,-16.0,2.5500000000000003
101,2021-03-24,22000669,1610612749,1610612738,2020,121.0,0.5,0.7,0.4589999999999999,19.0,46.0,119.0,0.479,1.0,0.4039999999999999,24.0,38.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,33.0,11.0,0.364,1.0,3.0,0.3329999999999999,4.0,7.0,0.5710000000000001,0.0,8.0,8.0,7.0,1.0,1.0,5.0,13.0,6.0,2.6
102,2021-01-01,22000073,1610612749,1610612741,2020,126.0,0.494,0.667,0.489,27.0,44.0,96.0,0.4370000000000001,0.7,0.231,18.0,42.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,27.0,19.0,0.474,1.0,5.0,0.2,10.0,18.0,0.556,1.0,11.0,12.0,8.0,2.0,2.0,2.0,29.0,31.0,2.6500000000000004
110,2020-12-25,22000006,1610612749,1610612744,2020,138.0,0.556,0.6920000000000001,0.556,25.0,60.0,99.0,0.343,0.84,0.222,14.0,43.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,26.0,14.0,0.286,0.0,3.0,0.0,7.0,15.0,0.467,4.0,9.0,13.0,4.0,0.0,0.0,2.0,15.0,26.0,2.7
111,2020-12-25,22000006,1610612749,1610612744,2020,138.0,0.556,0.6920000000000001,0.556,25.0,60.0,99.0,0.3429999999999999,0.84,0.222,14.0,43.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,26.0,14.0,0.286,0.0,3.0,0.0,7.0,15.0,0.467,4.0,9.0,13.0,4.0,0.0,0.0,2.0,15.0,26.0,2.75
113,2021-03-20,22000643,1610612749,1610612759,2020,120.0,0.489,0.889,0.368,24.0,49.0,113.0,0.479,0.9,0.364,29.0,41.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,33.0,18.0,0.5,2.0,5.0,0.4,6.0,7.0,0.857,0.0,8.0,8.0,15.0,0.0,0.0,3.0,26.0,21.0,2.8000000000000003
117,2021-03-11,22000573,1610612749,1610612752,2020,134.0,0.575,0.941,0.474,29.0,43.0,101.0,0.42,0.667,0.351,19.0,38.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,29.0,12.0,0.667,1.0,1.0,1.0,7.0,7.0,1.0,3.0,7.0,10.0,10.0,1.0,1.0,3.0,24.0,34.0,2.85
119,2021-03-02,22000540,1610612749,1610612743,2020,97.0,0.405,0.71,0.275,22.0,40.0,128.0,0.5579999999999999,0.917,0.3670000000000001,28.0,45.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,33.0,15.0,0.667,0.0,3.0,0.0,7.0,10.0,0.7,0.0,8.0,8.0,3.0,1.0,2.0,3.0,27.0,-5.0,2.9000000000000004
120,2021-02-28,22000520,1610612749,1610612746,2020,105.0,0.447,0.773,0.316,21.0,48.0,100.0,0.412,0.857,0.318,20.0,49.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,40.0,27.0,0.556,2.0,7.0,0.286,4.0,6.0,0.667,4.0,10.0,14.0,5.0,1.0,4.0,4.0,36.0,4.0,2.95
121,2021-02-25,22000503,1610612749,1610612740,2020,129.0,0.542,0.75,0.419,21.0,42.0,125.0,0.5,0.7140000000000001,0.3329999999999999,32.0,47.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,38.0,27.0,0.519,2.0,5.0,0.4,8.0,10.0,0.8,2.0,8.0,10.0,4.0,0.0,1.0,1.0,38.0,-2.0,3.0
122,2021-02-23,22000486,1610612749,1610612750,2020,139.0,0.535,0.722,0.476,33.0,52.0,112.0,0.429,1.0,0.352,35.0,43.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,29.0,18.0,0.722,1.0,3.0,0.3329999999999999,10.0,13.0,0.769,1.0,7.0,8.0,8.0,2.0,2.0,3.0,37.0,21.0,3.0500000000000003
123,2021-02-21,22000471,1610612749,1610612758,2020,128.0,0.489,0.8059999999999999,0.3929999999999999,22.0,56.0,115.0,0.44,0.75,0.364,29.0,43.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,33.0,19.0,0.474,1.0,2.0,0.5,19.0,24.0,0.792,5.0,13.0,18.0,4.0,1.0,0.0,6.0,38.0,29.0,3.1
124,2021-02-19,22000453,1610612749,1610612760,2020,98.0,0.407,0.68,0.324,23.0,61.0,85.0,0.365,0.524,0.3,20.0,46.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,35.0,20.0,0.5,1.0,5.0,0.2,8.0,10.0,0.8,2.0,17.0,19.0,8.0,1.0,3.0,3.0,29.0,23.0,3.1500000000000004
125,2021-02-18,22000445,1610612749,1610612761,2020,96.0,0.3979999999999999,0.696,0.294,23.0,52.0,110.0,0.487,0.957,0.3429999999999999,26.0,37.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,37.0,20.0,0.4,0.0,4.0,0.0,7.0,13.0,0.5379999999999999,1.0,11.0,12.0,8.0,2.0,0.0,5.0,23.0,-8.0,3.2
126,2021-02-16,22000430,1610612749,1610612761,2020,113.0,0.482,0.76,0.3779999999999999,25.0,41.0,124.0,0.505,0.7140000000000001,0.395,25.0,44.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,37.0,20.0,0.55,2.0,4.0,0.5,10.0,14.0,0.7140000000000001,0.0,10.0,10.0,8.0,5.0,2.0,5.0,34.0,-9.0,3.25
133,2021-02-03,22000329,1610612749,1610612754,2020,130.0,0.471,0.929,0.4379999999999999,33.0,53.0,110.0,0.4529999999999999,0.867,0.324,28.0,46.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,30.0,8.0,0.875,0.0,0.0,0.0,7.0,8.0,0.875,2.0,12.0,14.0,10.0,2.0,1.0,4.0,21.0,30.0,3.3000000000000003
